id,schoolID,alloc_year,alloc_batch,alloc_amount,alloc_type,alloc_group,mo_jan,mo_feb,mo_mar,mo_apr,mo_may,mo_jun,mo_jul,mo_aug,mo_sep,mo_oct,mo_nov,mo_dec
444,134717,2024,20241002,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
445,129152,2024,20241003,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
446,129153,2024,20241004,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
447,129154,2024,20241005,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
448,109430,2024,20241006,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
449,129155,2024,20241007,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
450,129156,2024,20241008,87400,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
451,129157,2024,20241009,216200,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
452,129158,2024,20241010,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
453,129159,2024,20241011,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
454,501421,2024,20241012,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
455,129161,2024,20241013,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
456,129162,2024,20241014,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
457,129163,2024,20241015,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
458,129164,2024,20241016,161000,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
459,129165,2024,20241017,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
460,129166,2024,20241018,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
461,129167,2024,20241019,69000,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
462,500478,2024,20241020,69000,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
463,129169,2024,20241021,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
464,205508,2024,20241022,4750,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
465,501082,2024,20241023,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
466,136958,2024,20241024,4750,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
467,129171,2024,20241025,87400,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
468,136927,2024,20241026,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
469,205512,2024,20241027,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
470,129173,2024,20241028,87400,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
471,129174,2024,20241029,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
472,129175,2024,20241030,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
473,129176,2024,20241031,4750,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
474,129177,2024,20241032,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
475,129178,2024,20241033,4750,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
476,129179,2024,20241034,69000,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
477,129180,2024,20241035,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
478,129181,2024,20241036,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
479,205501,2024,20241037,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
480,129189,2024,20241038,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
481,129186,2024,20241039,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
482,129182,2024,20241040,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
483,129183,2024,20241041,33250,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
484,129184,2024,20241042,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
485,129185,2024,20241043,69000,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
486,129187,2024,20241044,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
487,129188,2024,20241045,69000,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
488,129190,2024,20241046,50600,SNED Fund,SNED,0,0,0,0,0,0,0,0,0,0,0,0
