APPLICANT NO.,APPLICATION CODE,"Education
(10 pts)","Training
(10 pts)","Experience
(10 pts)","PBET/LET/
LEPT Rating
(10 pts)","PPST COIs
Classroom
Observation
(35 pts)","PPST NCOIs
Teacher Reflection
(25 pts)","Total
(100 pts)"
202300759,890,0,10,4,8.46,33.83,17.5,73.79
202300109,1418,0,10,0,7.82,32.66,12.5,62.98
20230313,451,0,10,4,9,33,20,75.89
20230902,1178,4,10,6,7.88,33.83,20,81.71
20230002,1298,0,10,6,8.22,31.5,17.5,73.22
20230370,1237,0,4,0,7.86,31.5,15,58.36
20230170,1208,0,10,2,9.28,35,20,76.28
20230820,284,0,10,10,7.64,35,22.5,85.14
20230359,557,0,10,2,8.5,31.5,20,72
20230803,524,0,10,4,7.74,31.5,17.5,70.74
20230986,523,0,0,0,8.2,28,15,51.2
20230325,828,0,10,2,8.46,31.5,15,66.96
20230468,958,0,10,2,8.08,29.16,25,74.24
20230477,663,0,10,8,7.68,31.5,20,77.18
20230988,805,0,10,8,7.78,33.25,17.5,76.53
20230818,746,0,10,6,7.7,33.83,12.25,69.78
20230464,1315,0,10,2,8.62,31.5,15,67.12
20230111,1137,0,10,0,7.66,33.83,15,66.49
20231000,247,0,8,10,8.38,33.83,17.5,77.71
20230681,1416,0,10,2,7.94,33.83,15,68.77
20230858,634,0,4,0,8.74,29.17,22.5,64.41
20230626,430,0,10,10,7.66,29.16,20,76.82
20230912,687,0,10,6,8.46,31.5,15,70.96
20230425,1093,0,10,4,8.34,33.83,15,71.17
20230329,739,0,2,0,8.3,30.33,12.5,53.13
202300897,1531,0,10,0,7.74,29.17,15,61.91
20231070,1410,0,10,6,7.96,31.5,15,70.46
20230453,1512,0,10,4,7.54,32.66,22.5,76.7
20231057,619,0,10,8,7.8,30.33,17.5,73.63
20230700,858,0,10,4,8.28,33.95,12.5,68.73
20230779,497,0,10,8,7.74,25.6,20,71.34
20230306,1536,0,10,0,9.26,33.25,15,67.51
