APPLICANT NO.,APPLICATION CODE,"Education
(10 pts)","Training
(10 pts)","Experience
(10 pts)","PBET/LET/
LEPT Rating
(10 pts)","PPST COIs
Classroom
Observation
(35 pts)","PPST NCOIs
Teacher Reflection
(25 pts)","Total
(100 pts)"
20230811,947,0,10,6,8.91,30.33,25,80.23
20230422,765,0,2,10,7.78,33.83,22.83,76.44
20230936,325,0,10,10,7.5,33.83,22.5,83.83
20230968,437,0,10,0,8.46,32.66,20,71.12
20230528,981,0,10,0,8.6,32.67,22.5,73.77
20230386,134,0,10,2,7.78,33.83,22.5,76.11
20231027,870,0,10,6,8.06,35,25,84.06
20230580,677,0,10,2,7.56,33.83,22.5,75.89
20230906,200,2,10,4,7.76,29.17,22.5,75.43
20230621,1269,0,10,4,8.06,31.5,22.5,76.06
20230999,1202,0,10,2,7.76,31.5,25,76.26
20230457,231,0,10,2,7.58,31.5,22.5,73.58
20230991,219,0,10,0,8.16,35,22.5,75.66
20230641,1342,0,6,0,8.16,32.67,25,71.83
20230759,222,0,0,0,7.8,35,20,62.8
20230769,122,0,10,4,8.44,33.83,20,76.27
20230263,165,0,0,0,8.6,33.83,22.5,64.93
20230776,855,0,10,0,8.82,32.67,25,76.49
20230831,233,0,10,10,7.76,31.5,20,79.26
20230860,860,8,10,8,7.82,35,22.5,91.32
20231023,441,0,10,4,7.92,29.17,22.5,73.59
20230915,418,0,10,8,7.76,31.5,22.5,79.76
20230961,546,0,4,0,7.98,33.83,25,70.81
20230963,703,0,10,10,7.7,31.5,25,84.2
20230565,241,0,10,6,8.28,35,25,84.28
20230744,281,0,10,10,7.52,35,22.5,85.02
20231017,921,0,10,0,7.76,31.5,20,69.26
20231040,1216,0,10,4,7.74,29.17,20,70.91
20230737,562,0,10,0,8.44,29.17,22.5,70.11
20230554,880,0,0,6,8.52,31.5,25,71.02
20230607,347,0,10,6,7.5,29.17,20,72.67
20231022,314,10,10,4,8.92,33.83,25,91.75
20231026,810,0,10,0,8.18,33.83,25,77.01
20230742,343,0,10,2,7.96,30.33,20,70.29
20230619,1077,0,10,2,8.32,33.83,25,79.15
20230690,1247,0,10,0,8.08,31.5,17.5,67.08
20230023,1191,0,10,0,8.04,29.17,20,67.21
20230994,221,0,2,0,9.06,29.17,25,65.23
20230195,147,0,10,0,8.36,29.17,25,72.53
20230197,117,0,10,6,8.32,33.83,22.5,80.65
20230739,1032,0,10,6,8.78,33.83,20,78.61
20230618,24,0,10,0,7.94,35,22.5,75.44
20230039,304,0,10,6,7.66,29.17,25,77.83
20230908,302,0,10,10,9.02,35,25,89.02
20230631,298,0,10,0,8.6,33.83,25,77.43
20230587,670,0,10,2,8.7,35,20,75.7
20230606,421,0,10,6,7.72,33.83,25,82.55
20230775,393,0,10,0,8.28,29.17,22.5,69.95
20230622,791,4,10,2,8.3,33.83,22.5,80.63
20231025,803,0,10,0,7.6,31.5,25,74.1
20230070,1325,0,10,2,7.5,32.67,25,77.17
20231015,361,0,10,4,7.56,32.67,20,74.23
20230653,410,0,4,0,7.76,32.27,15,59.03
20231029,651,0,10,4,7.88,33.83,22.5,78.21
20230788,433,0,10,2,7.76,32.67,20,72.43
20230952,817,0,10,10,7.76,32.67,25,85.43
20230603,824,0,10,6,7.5,30.33,22.5,76.33
20230833,111,0,10,6,7.84,35,22.5,81.34
20230545,689,0,10,0,8.22,32.67,22.5,73.39
20230635,917,0,10,2,7.92,32.67,20,72.59
20231066,734,0,10,4,8.68,32.67,25,80.35
20230967,442,0,10,0,8.28,31.5,20,69.78
20230647,728,0,10,0,7.8,32.67,20,70.47
20230586,282,0,10,4,8.617,33.83,20,76.447
20230194,127,0,4,2,7.96,33.83,22.5,70.29
20230832,320,0,10,6,7.82,33.83,20,77.65
20230422,777,0,2,10,7.78,33.83,22.83,76.44
20230936,326,0,10,10,7.5,33.83,22.5,83.83
20230386,133,0,10,2,7.78,33.83,22.5,76.11
202300855,1165,0,10,6,7.76,32.67,25,81.43
20230828,976,0,10,2,8.26,31.5,25,76.76
20230580,169,0,10,2,7.56,33.83,22.5,75.89
20230242,1256,0,10,2,7.84,33.83,25,78.67
20230621,1270,0,10,4,8.06,31.5,22.5,76.06
20230999,1203,0,10,2,7.76,31.5,25,76.26
20230899,885,0,10,8,8.48,33.83,25,85.31
20230641,1343,0,6,0,8.16,32.67,25,71.83
20230769,124,0,10,4,8.44,33.83,20,76.27
20230963,873,0,10,10,7.7,31.5,25,84.2
20230565,243,0,10,6,8.28,35,25,84.28
202300855,950,0,10,4,7.6,31.5,25,78.1
20230748,716,0,0,0,8.76,32.67,25,66.43
20230737,563,0,10,0,8.44,29.17,22.5,70.11
20231026,809,0,10,0,8.18,33.83,25,77.01
20230619,1075,0,10,2,8.32,33.83,25,79.15
20230023,1192,0,10,0,8.04,29.17,20,67.21
20230616,1213,0,10,4,8.66,31.5,25,79.16
20231077,1021,0,10,4,8.76,35,25,82.76
20231031,903,0,10,2,8.58,32.67,22.5,75.75
20230195,146,0,10,0,8.36,29.17,25,72.53
20230658,1049,0,2,0,8.36,35,25,70.36
20230270,1019,0,10,4,8.36,32.67,25,80.03
20230783,95,0,10,2,7.88,0,0,19.88
20230197,116,0,10,6,8.32,33.83,22.5,80.65
20230618,25,0,10,0,7.94,35,22.5,75.44
20230851,30,0,10,2,8.44,32.67,20,73.11
20230775,1212,0,10,0,8.28,29.17,22.5,69.95
20230750,678,0,6,4,8.5,31.5,25,75
20231025,802,0,10,0,7.6,31.5,25,74.1
20230612,363,0,10,0,7.86,29.17,25,72.03
20231060,1196,0,0,0,8.82,35,25,68.82
20230545,690,0,10,0,8.22,32.67,22.5,73.39
20230194,126,0,4,2,7.96,33.83,22.5,70.29
20230936,328,0,10,10,7.5,33.83,22.5,83.83
20230828,1130,0,10,2,8.26,31.5,25,76.76
20230999,1207,0,10,2,7.76,31.5,25,76.26
20230899,887,0,10,8,8.48,33.83,25,85.31
20230769,125,0,10,4,8.44,33.83,20,76.27
20230963,874,0,10,10,7.7,31.5,25,84.2
20230565,244,0,10,6,8.28,35,25,84.28
20230737,564,0,10,0,8.44,29.17,22.5,70.11
20231026,808,0,10,0,8.18,33.83,25,77.01
20230619,1078,0,10,2,8.32,33.83,25,79.15
20230023,1193,0,10,0,8.04,29.17,20,67.21
20231077,1085,0,10,4,8.76,35,25,82.76
20231031,904,0,10,2,8.58,32.67,22.5,75.75
20230618,26,0,10,0,7.94,35,22.5,75.44
20230851,33,0,10,2,8.44,32.67,20,73.11
20230775,1214,0,10,0,8.28,29.17,22.5,69.95
20231025,804,0,10,0,7.6,31.5,25,74.1
20230545,691,0,10,0,8.22,32.67,22.5,73.39
20230661,22,0,10,10,0,35,25,80
